mediaName,restaurant,oldestDate,theDay,updatedDate,before_theDay,after_theDay,countName,reference_before,reference_after,power,reliability2,reliability,group
모닝와이드,보스대게,2017-08-06,2099-12-31,2021-10-20,30097,-28561,0,45,54,-0.0520067440590829,100.0,0.0,방송프로그램
모닝와이드,마이무,2017-09-16,2099-12-31,2021-10-22,30056,-28559,0,5,93,-0.051238906965853,100.0,0.0,방송프로그램
문세윤,김북순큰남비짐,2019-08-07,2099-12-31,2021-10-18,29366,-28563,1,45,56,-0.0280484909686646,101.8181818181818,1.7857142857142856,연예인
문세윤,평방옥,2019-05-05,2019-12-31,2021-10-15,240,654,5,12,49,0.2228165137614678,111.36363636363636,10.20408163265306,연예인
문세윤,서운칼국수,2017-12-22,2021-06-07,2021-10-19,1263,134,8,9,89,9.17903339596554,109.87654320987654,8.98876404494382,연예인
백종원,미미파스타,2021-01-07,2099-12-31,2021-10-20,28847,-28561,0,5,95,-0.0100086910271144,100.0,0.0,연예인
백종원,도두반점,2019-04-11,2019-04-11,2021-10-20,0,923,21,0,100,,126.58227848101266,21.0,연예인
백종원,고단백식당,2017-07-28,2020-03-11,2021-10-20,957,588,15,1,99,2.5851313095771222,117.85714285714286,15.151515151515152,연예인
백종원,지린성,2021-05-26,2021-10-18,2021-10-21,145,3,1,64,36,17.106758620689654,102.85714285714285,2.7777777777777777,연예인
백종원,박용채의대박터진돈까스,2020-05-31,2020-06-23,2021-10-19,23,483,27,1,98,0.8066666666666668,138.0281690140845,27.55102040816326,연예인
생방송오늘저녁,이진상회,2019-04-26,2099-12-31,2021-10-22,29469,-28559,0,0,100,-0.031863860779439,100.0,0.0,방송프로그램
생방송오늘저녁,목향원,2019-08-15,2099-12-31,2021-10-21,29358,-28560,0,5,95,-0.0279032020533535,100.0,0.0,방송프로그램
생방송오늘저녁,베이커리밤마을,2020-02-16,2099-12-31,2021-10-21,29173,-28560,0,8,92,-0.0214275050094764,100.0,0.0,방송프로그램
생방송오늘저녁,백세삼계탕,2019-07-07,2099-12-31,2021-10-22,29397,-28559,0,10,90,-0.0292591187089165,100.0,0.0,방송프로그램
생방송오늘저녁,북한산제빵소,2020-02-11,2099-12-31,2021-10-21,29178,-28560,0,6,94,-0.0216111566156382,100.0,0.0,방송프로그램
생방송투데이,삼고집파주점,2017-10-15,2099-12-31,2021-10-21,30027,-28560,0,1,24,-0.0128162913881708,100.0,0.0,방송프로그램
생방송투데이,어거스트힐,2019-12-09,2099-12-31,2021-10-21,29242,-28560,0,4,83,-0.0207529327372834,100.0,0.0,방송프로그램
생방송투데이,강릉수제어묵고로케,2019-03-02,2099-12-31,2021-10-11,29524,-28570,0,3,97,-0.033359300338679,100.0,0.0,방송프로그램
생방송투데이,레드브릿지,2020-04-18,2099-12-31,2021-10-21,29111,-28560,0,1,98,-0.019096138276684,100.0,0.0,방송프로그램
생방송투데이,글린공원,2020-11-19,2099-12-31,2021-10-21,28896,-28560,0,0,94,-0.0110588235294117,100.0,0.0,방송프로그램
생생정보통,이성당,2020-08-10,2099-12-31,2021-10-21,28997,-28560,0,0,100,-0.0153011204481792,100.0,0.0,방송프로그램
생생정보통,다우랑,2016-01-25,2099-12-31,2021-10-21,30656,-28560,0,9,91,-0.0729377584018993,100.0,0.0,방송프로그램
생생정보통,문개항아리조천본점,2021-03-13,2099-12-31,2021-10-15,28782,-28566,0,6,94,-0.0075580318984809,100.0,0.0,방송프로그램
생생정보통,야자수마을카페,2021-09-29,2099-12-31,2021-10-21,28582,-28560,0,0,100,-0.0007703081232492,100.0,0.0,방송프로그램
생생정보통,장인의집,2019-06-19,2099-12-31,2021-10-21,29415,-28560,0,0,100,-0.0299369747899159,100.0,0.0,방송프로그램
